label,cluster_no
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
maize,4
maize,0
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,0
maize,4
maize,4
maize,3
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,3
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,6
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
chickpea,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
kidneybeans,3
